209076	17706	En	Witold Rybczynski	A Clearing In the Distance	-	-	-	-	-	Scribner	9781439125106	-	-	-
44643	5240	En	Peter Hunn	Small Engines and Outdoor Power Equipment	Text	-	-	All rights reserved	-	Cool Springs Press	9781627881401	144 Pages	-	2014
471159	26719	En	Hugh Thomas	Conquest	-	-	-	-	-	Simon & Schuster	9781439127254	-	-	-
305205	21596	En	David McCullough	The Path Between the Seas	-	-	-	-	-	Touchstone	9780743201377	-	-	-
90615	11318	En	Fritz Allhoff	Sailing--Philosophy For Everyone	-	-	-	-	-	Wiley	9781118336403	-	-	2012-05-04
329708	22005	En	Bruce Allen Murphy	Scalia	-	-	-	-	-	Simon & Schuster	9781451611465	-	-	-
76126	10728	En	Edward Berenson	The Statue of Liberty	Text	-	-	All rights reserved	-	Yale University Press	9780300183283	248 Pages	-	2012
87757	10313	En	John Geiger	Frozen in Time	Text	-	-	All Rights Reserved	-	Bloomsbury Publishing	9780747577270	288 Pages	-	2004
105441	13336	En	Joel Bakan	Childhood Under Siege	Text	-	-	All rights reserved	-	Free Press	9781439141182	288 Pages	-	2011
117925	11177	En	Christie, Niall	Muslims and Crusaders	-	-	-	© 2014 Niall Christie	-	Taylor and Francis	9781317682783	-	-	-
480527	25325	En	Doris Kearns Goodwin	No Ordinary Time	-	-	-	-	-	Simon & Schuster	9781439126196	-	-	-
62581	9639	En	Jaime Joyce	Moonshine	-	-	-	All rights reserved	-	MBI	9781627882071	208 Pages	-	2014
78290	9113	En	Max Bazerman	The Power of Noticing	-	-	-	-	-	Simon & Schuster	9781476700311	-	-	-
99265	12123	En	Kennett, Jeanette, Wolfendale, Jessica, Allhoff, Fritz, Baumgardner, Jennifer	Fashion - Philosophy for Everyone	-	-	-	-	-	John Wiley & Sons	9781444345544	-	-	2011-06-30
60284	5794	En	Danielle Fishel	Normally, This Would Be Cause for Concern	-	-	-	-	-	Gallery Books	9781476760254	-	-	-
104485	11358	En	James  K. Galbraith	The End of Normal	-	-	-	-	-	Simon & Schuster	9781451644944	-	-	-
274483	25094	En	Naomi Klein	This Changes Everything	-	-	-	-	-	Simon & Schuster	9781451697407	-	-	-
116077	15038	En	Diane Ackerman	An Alchemy of Mind	-	-	-	-	-	Scribner	9781439125083	-	-	-
87457	9722	En	William Deresiewicz	Excellent Sheep	-	-	-	-	-	Free Press	9781476702735	-	-	-
103967	12402	En	David M. Ewalt	Of Dice and Men	-	-	-	-	-	Scribner	9781451640526	-	-	-
132071	10377	En	Fleischacker, Samuel	What is Enlightenment?	-	-	-	© 2013 Samuel Fleischacker	-	Taylor and Francis	9781135091576	-	-	-
60110	7027	En	Kim Lipker	Colorado	-	-	eBook ISBN: 9780897329910	-	-	Menasha Ridge Press	eBook ISBN: 9780897329910	-	-	2012
256068	18737	En	Mark Whitaker	Cosby	-	-	-	-	-	Simon & Schuster	9781451697995	-	-	-
33525	5672	En	Pimsleur	How to Learn a Foreign Language	-	-	-	-	-	S&S	9781442369030	-	-	-
383781	18842	En	Bragg	Network Security	Text	-	-	All rights reserved	-	McGraw-Hill Education	0071811737	896 Pages	-	2004
581091	24266	En	LaFollette, Hugh	Ethics in Practice	-	-	-	-	-	Wiley	9781118790779	-	-	2013-12-17
299676	17023	En	Bob Woodward	Shadow	-	-	-	-	-	Simon & Schuster	9780684869223	-	-	-
133508	11772	En	Cooper, Al	Sex and the Internet	-	-	-	© 2002 by Brunner-Routlege	-	Taylor and Francis	978-1-135-45088-5	-	-	-
140619	9328	En	Jonathan Maberry	Rot & Ruin	-	-	-	-	-	Simon & Schuster	9781442402348	464 Pages	-	2010
151223	13578	En	Michael A. Martin	Star Trek: Typhon Pact: Seize the Fire	-	-	-	-	-	Pocket Books	9781439167960	512 Pages	-	2010
122188	10411	En	Sherrilyn Kenyon, Dianna Love, Cindy Gerard, and Laura Griffin	Deadly Promises	-	-	-	-	-	Pocket Star Books	9781439191125	416 Pages	-	2010
165584	13361	En	Stephen King	Full Dark, No Stars	-	Fiction	-	-	-	Simon and Schuster	CBUSCESSI02FOD0J	384 Pages	-	2010-11-09T06:53:36.486000+00:00
