267819	16159	empty	NELSON DEMILLE	The Charm School	-	FIC006000	-	CA PH PR UM US VI	-	Grand Central Publishing	9780759522619	-	-	2001-04-01
64659	6851	empty	Oscar Wilde	De Profundis	-	-	-	Copyright © 2000 by Oscar Wilde	-	Random House Publishing Group	978-0-307-75718-0	-	-	2010-06-30
63365	6647	empty	Kim Echlin	Dagmar's Daughter	-	-	-	Copyright © Kim A. Echlin, 2001	-	PENGUIN GROUP (CANADA)	9e8e3902-482e-422b-87b1-6e2c359dc0f1	-	-	-
161631	10909	empty	Haruki Murakami	Underground	-	-	-	Copyright © 2000 by Haruki Murakami	-	Knopf Doubleday Publishing Group	978-0-307-76275-7	-	-	2010-08-11
161046	9802	empty	Julia Franck	The Blind Side of the Heart	-	-	-	-	-	Random House Group Limited	-	-	-	6/4/2009
44326	4131	empty	Helen Baron	Perfect Personality Profiles	-	-	-	-	-	Random House Publishing Group	-	-	-	-
113997	11938	empty	Dean Koontz	Relentless	-	-	-	Copyright © 2009 by Dean Koontz	-	Random House Publishing Group	978-0-553-90653-0	-	-	2009-01-01
146373	8171	empty	John Saul	Hellfire	-	-	-	Copyright © 1986 by John Saul	-	Random House Publishing Group	978-0-307-76794-3	-	-	2010-11-10
146445	8726	empty	John Saul	The God Project	-	-	-	Copyright © 1982 by John Saul	-	Random House Publishing Group	978-0-307-76791-2	-	-	2010-11-03
176867	10873	empty	John Saul	The Blackstone Chronicles	-	-	-	Copyright © 1997 by John Saul	-	Random House Publishing Group	978-0-307-77579-5	-	-	2010-10-20
156826	9247	empty	John Saul	Creature	-	-	-	Copyright © 1989 by John Saul	-	Random House Publishing Group	978-0-307-76803-2	-	-	2010-11-03
131913	7548	empty	John Saul	Cry for the Strangers	-	-	-	Copyright © 1979 by John Saul	-	Random House Publishing Group	978-0-307-76823-0	-	-	2010-10-27
162127	9034	empty	John Saul	Shadows	-	-	-	Copyright © 1992 by John Saul	-	Random House Publishing Group	978-0-307-76802-5	-	-	2010-11-03
144092	8286	empty	John Saul	Darkness	-	-	-	Copyright © 1991 by John Saul	-	Random House Publishing Group	978-0-307-76801-8	-	-	2010-11-10
135009	7322	empty	Danielle Steel	Heartbeat	-	-	-	copyright © 1991 by Danielle Steel	-	Random House Publishing Group	978-0-307-56649-2	-	-	1991-01-01
148010	8202	empty	Danielle Steel	Toxic Bachelors	-	-	-	copyright © 2005 by Danielle Steel	-	Random House Publishing Group	978-0-307-56702-4	-	-	2005-01-01
152162	7636	empty	Danielle Steel	Bittersweet	-	-	-	copyright © 1999 by Danielle Steel	-	Random House Publishing Group	978-0-307-56635-5	-	-	1999-01-01
192052	8616	empty	Danielle Steel	Family Album	-	-	-	copyright © 1985 by Benitreto Publications, Ltd.	-	Random House Publishing Group	978-0-307-56643-0	-	-	1985-01-01
61083	4572	empty	Danielle Steel	Leap of Faith	-	-	-	copyright © 2001 by Danielle Steel	-	Random House Publishing Group	978-0-307-56658-4	-	-	2001-01-01
57825	5292	empty	Danielle Steel	Coming Out	-	-	-	copyright © 2006 by Danielle Steel	-	Random House Publishing Group	978-0-307-56638-6	-	-	2006-01-01
128290	6971	empty	Danielle Steel	Impossible	-	-	-	copyright © 2005 by Danielle Steel	-	Random House Publishing Group	978-0-307-56652-2	-	-	2005-01-01
