202756	16231	en	Perelman, Michael	The Invention of Capitalism: Classical Political Economy and the Secret History of Primitive Accumulation	-	ebook	-	-	-	Duke University Press	B00EDIWR9M	-	calibre (1.12.0) [http://calibre-ebook.com]	2000-04-12T04:00:00+00:00
167433	13407	en	Walid Phares	The Coming Revolution	Text	-	-	All rights reserved	-	Simon & Schuster	9781439180495	400 Pages	-	2010
92225	9111	en	Clive Small; Tom Gilling 	Blood Money: Bikies, terrorists and Middle Eastern gangs	-	True Crime	-	Copyright © Clive Small; Tom Gilling  2011	-	Allen & Unwin	urn:uuid:7d16873d-f906-0c20-a513-e1b08203b1af	-	-	2011
136131	15193	en	Michael Gurnow	The Edward Snowden Affair	Text	-	-	© 2014 Michael Gurnow	-	Blue River Press	9781935628736	148	-	2014
99412	11397	en	Dinesh D'Souza	Dinesh D'Souza - America: Imagine a World without Her	-	History - Politics	-	-	-	Regnery Publishing	B00G1SM2QU	-	calibre (1.42.0) [http://calibre-ebook.com]	2014-06-02T00:00:00+00:00
34261	9469	en	Jeff Kolby	Vocabulary 4000	Text	-	-	All rights reserved.	-	Nova Press	9781889057217	160 Pages	-	2010
124442	12397	en	David R. Shumway	Rock Star	Text	-	-	All rights reserved	-	Johns Hopkins University Press	1421413922	265 Pages	-	2014
105497	10928	en	Paul Goodman	Growing Up Absurd	-	-	-	Copyright © 1956, 1957, 1958, 1959, 1960 by Paul Goodman	-	New York Review Books	urn:uuid:3da4e858-3a61-7840-47bd-0c3ec845b4d2	-	Susan Sontag	2011-12-13
1727543	44106	en	Barnes, Jonathan, Aristotle	The Complete Works of Aristotle	-	-	-	-	-	Princeton University Press	9781400852765	ePub	-	1984
156968	20520	en	Will Pearson	Mental_Floss Presents: Condensed Knowledge	-	-	-	© 2004 by Mental Floss LLC	-	HarperCollins	9780061747649	-	-	2004
110302	10952	en	Patricia Driscoll	Hidden Battles on Unseen Fronts	-	Bisac Code 1: MED073000	eBook ISBN: 9781612000251	-	-	Casemate Publishers and Book Distributors, LLC	eBook ISBN: 9781612000251	-	-	2010-10-19
104556	10636	en	Iris Krasnow	The Secret Lives of Wives	-	-	-	Copyright © 2011 by Iris Krasnow	-	Penguin Group US	9781101544525	-	-	2011-08-19
179853	11969	en	Emile Durkheim	On Suicide	Text	-	-	All rights reserved	-	Penguin Books Ltd	9780141915340	450 pages	-	2006
188689	17117	en	Nick Bostrom	Superintelligence	Text	-	-	All rights reserved	-	Oxford University Press	9780199678112	352 Pages	-	2014
102019	10362	en	Herbert Krosney	The Lost Gospel	-	-	PDF	Copyright © 2006 Krosney Productions, Ltd.	-	National Geographic Society	-	-	Herbert Krosney	2006
89967	10816	en	Rubin, Charles T.	Eclipse of Man	Text	-	URN:ISBN:978-1-5940-3741-2	All rights reserved	-	Encounter Books	URN:ISBN:978-1-5940-3741-2	237 Pages	-	-
219785	15856	en	Plokhy, Serhii	The Last Empire	Text	-	URN:ISBN:978-0-4650-6199-0	All rights reserved	-	Basic Books	URN:ISBN:978-0-4650-6199-0	520 Pages	-	-
301342	14485	en	Winer, Ethan	The Audio Expert	Text	-	URN:ISBN:978-0-240-82103-0	-	-	Elsevier Science	URN:ISBN: 978-0-240-82103-0	 pages	-	2012-3-31
225911	10697	en	Jack R. Benjamin & C. Allin Cornell	Probability, Statistics, and Decision For Civil Engineers	image	-	-	All rights reserved	-	Dover Publications, Inc	9780486796093	704 pages	-	2014
191633	13603	en	Sam Pettus	Service Games: The Rise and Fall of Sega	-	-	-	-	-	-	55ec1c31-4bb2-42a7-a8ed-cb6de1418e69	-	calibre (1.12.0) [http://calibre-ebook.com]	0101-01-01T00:00:00+00:00
144646	17146	en	Hodson, Christopher	The Acadian Diaspora	Text	-	-	All rights reserved	-	Oxford University Press, USA	9780199739776	272	-	2012
150090	13145	en	Brian Campbell	The Romans and their World	-	-	-	Copyright © 2011 Brian Campbell	-	Yale University Press	978-0-300-11795-0	-	-	-
86890	4644	en	Mark Zegarelli	Calculus II For Dummies	-	-	-	NONE	-	Wiley	9781118204269	-	-	2011-12-21
134787	9624	en	Ron Jaworski	The Games That Changed the Game	-	-	-	-	-	Random House Publishing Group	9780345517975	-	calibre (0.8.34) [http://calibre-ebook.com]	2010-01-30T22:00:00+00:00
136748	8383	en	Bruce Hallberg	Networking A Beginner's Guide	-	-	-	2014 by McGraw-Hill Education	-	McGraw-Hill Education	eISBN: 978-0-07-181225-2	-	-	2013-09-03
134078	13225	en	Alex Bellos	Here's Looking at Euclid	-	-	-	-	-	Free Press	9781416596349	330	-	2010
10905	2061	en	Piotr Barsony	The Stories of the Mona Lisa	Text	-	-	All rights reserved	-	Skyhorse Publishing, Inc.	9781620872284	56 pages	-	2012
368850	19736	en	Ferran, Eilis	Principles of Corporate Finance Law	-	-	-	-	-	Oxford University Press, USA	B00IGSZL9S	-	calibre (0.9.42) [http://calibre-ebook.com]	2014-02-15T00:00:00+00:00
200170	16277	en	Julia Flynn Siler	The House of Mondavi	-	-	-	Copyright © 2007 by Julia Flynn Siler	-	Penguin Group US	-	-	Julia Flynn Siler	2007
298706	26816	en	Said, Edward W., Auerbach, Erich, Trask, Willard R.	Mimesis	Text	-	-	All Rights Reserved	-	Princeton University Press	9781400847952	614 pages	-	2013
220705	17820	en	Carlson, W. Bernard	Tesla	Text	-	-	All Rights Reserved	-	Princeton University Press	9781400846559	517	-	2013
101080	10211	en	Karatani, Kojin, and Seiji M. Lippit, eds.	History and Repetition	-	History/World	-	2012 Columbia University Press	-	Columbia University Press	-	-	Edited by Kojin Karatani and Seiji M. Lippit	2011-11-11
100503	7559	en	Marc Levinson	Guide to Financial Markets	-	-	-	© Marc Levinson, 2014	-	Public Affairs	9781610393904	-	-	-
80354	9811	en	José Vilson	This Is Not a Test	-	Education	-	-	-	Haymarket Books	978-1-60846-428-9	-	-	2014-04-15
