28567	4977	eng	Patrick Cockburn	The Jihadis Return: Isis and the New Sunni Uprising	-	-	eBook ISBN: 9781939293602	-	-	OR Books	e9781939293602	-	-	2014-07-16
78306	8424	eng	Ronald Kessler	The First Family Detail	-	-	-	Copyright © 2014 by Ronald Kessler	-	Random House Inc.	978-0-8041-3922-9	-	-	2014-08-05
109863	13251	eng	Fritz Allhoff	Cannabis--Philosophy for Everyone	-	-	-	-	-	Wiley	9781444341393	-	-	2010-11-04
86885	8482	eng	Rob Manning,William L. Simon	Mars Rover Curiosity	-	-	-	Copyright © 2014 by Robert Manning	-	Random House Publisher Services	978-1-58834-474-8	-	-	2014-10-21
108114	13050	eng	O&#39;Brien, Dan, Allhoff, Fritz, Cooper, David E.	Gardening 	-	-	-	-	-	John Wiley & Sons, Ltd.	9781444341423	-	-	2010-11-04
118058	14512	eng	Kowalsky, Nathan, Allhoff, Fritz, Petersen, David	Hunting - Philosophy for Everyone	-	-	-	-	-	John Wiley & Sons, Ltd.	9781444341478	-	-	2010-11-04
15679	3267	eng	Brian Solomon,John Gruber	Streetcars of America	-	Streetcars of America	-	-	-	Random House Publisher Services	9780747815242	-	-	-
42575	7194	eng	Noys, Benjamin	Malign Velocities: Accelerationism and Capitalism	-	-	-	Copyright © 2013 by Benjamin Noys	-	John Hunt (NBN)	978-1-78279-299-4	-	-	2014-10-31
67392	9332	eng	Julian Assange	When Google Met WikiLeaks	-	-	eBook ISBN: 9781939293589	-	-	OR Books	e9781939293589	-	-	2014-08-08
57096	6325	eng	Richard Maun	Riding the Rocket	Text	-	URN:ISBN:978-9-8144-8483-1	All rights reserved	-	Marshall Cavendish International (Asia) Pte Ltd	URN:ISBN:978-9-8144-8483-1	257 pages	-	-
177203	12421	eng	Nigel West	MI5 in the Great War	-	-	-	© Nigel West 2014	-	Biteback Publishing	9781849547772	-	-	2014
159606	11558	eng	John Mayfield	The Engine of Complexity	-	Evolution as Computation	-	2013 John E. Mayfield	-	Columbia University Press	mayf16304	-	John E. Mayfield	2013-05-30
100285	11179	eng	Fritz Allhoff	Serial Killers--Philosophy for Everyone	-	-	-	-	-	Wiley	9781444341409	-	-	2010-11-04
68472	6156	eng	Madeleine L'Engle	A Wrinkle in Time	-	Children's Books	-	-	-	Dell Pub. Co.	9780440498056	-	calibre (0.8.16) [http://calibre-ebook.com]	1973-03-15T07:00:00+00:00
