106819	13636	es-AR	Paul Auster	Brooklyn Follies	-	Drama	-	-	-	-	-	-	Benito Gómez Ibáñez	2005-01-01T00:00:00+00:00
58065	7465	es-AR	J. M. G. Le Clézio	El pez dorado	-	Aventuras	-	-	-	-	-	-	-	2000-12-31T23:00:00+00:00
124722	15571	es-AR	Javier Pellicer	Leones de Aníbal	-	Novela	-	-	-	-	-	-	-	2018-06-12T22:00:00+00:00
29515	5981	es-AR	Clark Carrados	El mercenario	-	Novela	-	-	-	-	-	-	-	2016-11-20
31241	6558	es-AR	Peter Kapra	Los esclavos técnicos	-	Novela	-	-	-	-	-	-	-	1970-02-28T23:00:00+00:00
31815	6560	es-AR	Peter Kapra	Naufragio sideral	-	Novela	-	-	-	-	-	-	-	1970-02-28T23:00:00+00:00
86472	10727	es-CO	Natalia Corbillón	En algún lugar de Orión	-	Fantástico	-	-	-	-	-	epub	-	2009-10-19T22:00:00+00:00
17163	4175	es-CO	James Luceno	Darth Maul, saboteador	-	Ciencia ficción	-	-	-	-	-	epub	-	2001-02-14T23:00:00+00:00
42069	7395	es-CR	K. A. Applegate	Comprender lo desconocido	-	Fantástico	-	-	-	-	-	epub	-	1999-12-31T23:00:00+00:00
196334	19754	es-ES	David Hernández de la Fuente	Civilización griega	-	Referencia	-	Está prohibida la reproducción total o parcial de este libro electrónico, su transmisión, su descarga, su descompilación, su tratamiento informático, su almacenamiento o introducción en cualquier sistema de repositorio y recuperación, en cualquier forma o por cualquier medio, ya sea electrónico, mecánico, conocido o por inventar, sin el permiso expreso escrito de los titulares del Copyright.	-	-	-	-	-	2016-08-04T22:00:00+00:00
79389	11739	es-ES	Cristina Martín Jiménez	Los planes del Club Bildelberg para España	-	Ciencias sociales	-	-	-	-	-	-	-	2015-05-04T22:00:00+00:00
101369	15038	es-ES	Jeremy Mercer	La librería más famosa del mundo	text	Sátira	-	© Jeremy Mercer 2014	-	-	-	EPUB	Rubén Martín Giráldez	2014-02-07T23:00:00+00:00
3956	1410	es-ES	Florencio Moreno Godino	La ingratitud	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0001570629	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13375	-	Pablo Barrio Aller	2017-05-16T00:00:00+00:00
2936	1119	es-ES	Florencio Moreno Godino	El hombre de la levita verde	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0001542632	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:14338	-	Pablo Barrio Aller	2016-06-16T00:00:00+00:00
4957	1613	es-ES	Florencio Moreno Godino	¡Sin corazón!	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0001493361	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13926	-	Pablo Barrio Aller	2015-08-25T00:00:00+00:00
3794	1389	es-ES	Florencio Moreno Godino	¡Nochebuena!	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0001497437	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13411	-	Pablo Barrio Aller	2015-12-24T00:00:00+00:00
3250	1308	es-ES	Florencio Moreno Godino	Una justicia del diablo	-	Relato	http://hemerotecadigital.bne.es/issue.vm?id=0000622709&search=&lang=es	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13823	-	Pablo Barrio Aller	2011-06-23T00:00:00+00:00
3062	1199	es-ES	Florencio Moreno Godino	La Perdigona	-	Relato	http://hemerotecadigital.bne.es/issue.vm?id=0001094752&search=&lang=es	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13545	-	Pablo Barrio Aller	2011-10-22T00:00:00+00:00
4415	1531	es-ES	Florencio Moreno Godino	El ciego de Bellver	-	Relato	http://hemerotecadigital.bne.es/issue.vm?id=0001469879&search=&lang=es	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:3125	-	Pablo Barrio Aller	2012-10-19T00:00:00+00:00
5425	1645	es-ES	Florencio Moreno Godino	La autopsia	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0001500772	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13522	-	Pablo Barrio Aller	2016-09-20T00:00:00+00:00
2398	965	es-ES	Florencio Moreno Godino	Vargas y Machuca	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0001532615	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13938	-	Pablo Barrio Aller	2016-07-06T00:00:00+00:00
2428	981	es-ES	Florencio Moreno Godino	El alma en pena	-	Bélico	http://hemerotecadigital.bne.es/issue.vm?id=0000545388&search=&lang=es	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:3126	-	Pablo Barrio Aller	2011-06-08T00:00:00+00:00
4638	1553	es-ES	Florencio Moreno Godino	El blasfemo	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0001571205	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13355	-	Pablo Barrio Aller	2015-07-07T00:00:00+00:00
5222	1659	es-ES	Florencio Moreno Godino	La última encarnación del diablo	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0001565972	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:3124	-	Pablo Barrio Aller	2016-03-05T00:00:00+00:00
3632	1289	es-ES	Florencio Moreno Godino	¡Se parece a Voltaire!	-	Relato	http://hemerotecadigital.bne.es/issue.vm?id=0001496173&search=&lang=es	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13592	-	Pablo Barrio Aller	2015-01-23T00:00:00+00:00
4294	1499	es-ES	Florencio Moreno Godino	El jaique	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0001518534	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:14184	-	Pablo Barrio Aller	2016-05-30T00:00:00+00:00
5968	1866	es-ES	Florencio Moreno Godino	La lotería	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0001502029	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13709	-	Pablo Barrio Aller	2016-12-22T00:00:00+00:00
2881	1131	es-ES	Florencio Moreno Godino	El maestro triste	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0001479682	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13348	-	Pablo Barrio Aller	2015-07-30T00:00:00+00:00
3551	1271	es-ES	Florencio Moreno Godino	Los nervios	-	Relato	http://hemerotecadigital.bne.es/issue.vm?id=0001494494&search=&lang=es	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13973	-	Pablo Barrio Aller	2012-04-19T00:00:00+00:00
3866	1408	es-ES	Florencio Moreno Godino	El hada de la fuente	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0001474471	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13499	-	Pablo Barrio Aller	2015-10-15T00:00:00+00:00
2625	1065	es-ES	Florencio Moreno Godino	El poeta y la pastora	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0001526750	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13463	-	Pablo Barrio Aller	2016-11-25T00:00:00+00:00
2402	937	es-ES	Florencio Moreno Godino	El Laberinto del amor	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0001491239	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:14187	-	Pablo Barrio Aller	2015-11-18T00:00:00+00:00
3339	1159	es-ES	Florencio Moreno Godino	El clown lúgubre	-	Relato	http://hemerotecadigital.bne.es/issue.vm?id=0001494128&search=&lang=es	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:14046	-	Pablo Barrio Aller	2014-02-12T00:00:00+00:00
4150	1439	es-ES	Florencio Moreno Godino	Los pantalones	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0001499226	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13654	-	Pablo Barrio Aller	2016-01-19T00:00:00+00:00
2089	847	es-ES	Torcuato Tárrago y Mateos	Las veladas de San Juan	-	Relato	http://hemerotecadigital.bne.es:80/details.vm?q=id:0003440097	Creative Commons. Reconocimiento-NoComercial-SinObraDerivada 3.0 España	-	-	calibre:13707	-	Pablo Barrio Aller	2016-06-23T00:00:00+00:00
